;Title, http://www.gcdataconcepts.com, X6-2mini
;Version, 915, Build num, 0x800, Build date, 20100407 18:07:03,  SN:CCDC22011000155
;Start_time, 1900-01-02, 15:40:04.005
;Switch, Unknown
;Temperature, 70.50, deg C
;Gain, high
;SampleRate, 40,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
10.414,899,-38,-540
10.439,899,-37,-533
10.464,898,-43,-532
10.489,907,-42,-533
10.514,917,-38,-534
10.539,918,-42,-533
10.564,915,-45,-530
10.589,918,-44,-530
10.613,916,-43,-529
10.639,908,-45,-528
10.664,906,-44,-530
10.689,910,-43,-536
10.714,912,-45,-543
10.738,907,-45,-546
10.764,901,-43,-550
10.789,895,-43,-550
10.813,883,-39,-545
10.839,883,-41,-548
10.863,883,-45,-551
10.889,882,-46,-548
10.914,904,-42,-559
10.938,922,-40,-568
10.964,907,-40,-555
10.988,890,-40,-543
11.014,883,-43,-535
11.039,887,-45,-540
11.064,906,-48,-555
11.089,912,-48,-555
11.114,908,-45,-549
11.139,902,-47,-549
11.163,905,-46,-550
11.189,897,-36,-547
11.214,890,-39,-548
11.239,886,-42,-549
11.264,892,-41,-550
11.288,891,-42,-551
11.314,898,-44,-556
11.339,905,-42,-557
11.364,903,-40,-554
11.389,897,-43,-551
11.413,894,-43,-553
11.439,893,-41,-551
11.463,892,-42,-551
11.488,896,-43,-555
11.514,898,-42,-558
11.538,896,-42,-557
11.564,894,-42,-555
11.588,893,-41,-556
11.613,893,-42,-557
11.639,892,-42,-558
11.663,891,-42,-558
11.689,892,-42,-559
11.713,894,-42,-559
11.738,892,-41,-559
11.763,892,-41,-559
11.788,892,-41,-559
11.813,891,-40,-559
11.838,893,-41,-561
11.863,893,-41,-561
11.888,892,-41,-559
11.913,890,-41,-558
11.938,893,-42,-562
11.963,894,-41,-561
11.988,891,-41,-559
12.013,889,-42,-558
12.039,891,-42,-560
12.063,894,-41,-561
12.088,893,-41,-561
12.114,892,-41,-558
12.138,893,-40,-558
12.163,894,-41,-560
12.188,893,-42,-560
12.213,892,-42,-558
12.239,894,-41,-559
12.263,891,-41,-557
12.288,893,-42,-560
12.313,894,-41,-559
12.338,892,-41,-559
12.363,892,-41,-559
12.388,892,-42,-560
12.413,894,-41,-559
12.438,892,-41,-558
12.463,891,-42,-558
12.488,893,-41,-560
12.513,893,-40,-559
12.538,892,-41,-559
12.563,891,-42,-561
12.588,895,-40,-559
12.612,891,-40,-559
12.638,891,-41,-560
12.663,894,-41,-561
12.688,893,-41,-560
12.713,891,-41,-559
12.737,891,-42,-561
12.763,893,-41,-560
12.787,892,-41,-561
12.813,890,-42,-560
12.838,893,-42,-562
12.862,892,-40,-562
12.888,889,-42,-562
12.912,890,-42,-563
12.937,889,-41,-561
12.963,891,-41,-563
12.987,890,-42,-563
13.013,889,-42,-561
13.038,892,-41,-562
13.063,892,-42,-564
13.087,891,-42,-563
13.113,890,-41,-561
13.138,890,-42,-562
13.162,891,-41,-561
13.188,892,-42,-563
13.212,890,-42,-562
13.238,892,-42,-562
13.263,891,-41,-560
13.287,891,-42,-561
13.313,891,-43,-561
13.337,893,-42,-562
13.363,892,-42,-562
13.387,890,-43,-561
13.412,892,-42,-561
13.438,892,-42,-561
13.462,890,-43,-561
13.488,892,-43,-563
13.512,892,-42,-561
